tool,nthreads,size,repetitions,usec
Pthreads,1,1000000,1000,5477219
Pthreads,2,500000,1000,2839911
Pthreads,4,250000,1000,1655660
Pthreads,1,1000000,2000,11006402
Pthreads,2,500000,2000,5666549
Pthreads,4,250000,2000,3380161
Pthreads,1,1000000,4000,21884076
Pthreads,2,500000,4000,11274185
Pthreads,4,250000,4000,6435769
Pthreads,1,2000000,1000,10957592
Pthreads,2,1000000,1000,5664684
Pthreads,4,500000,1000,3422904
Pthreads,1,2000000,2000,21750945
Pthreads,2,1000000,2000,11284063
Pthreads,4,500000,2000,6470073
Pthreads,1,2000000,4000,43841161
Pthreads,2,1000000,4000,22496847
Pthreads,4,500000,4000,12780402
Pthreads,1,4000000,1000,21825924
Pthreads,2,2000000,1000,11260300
Pthreads,4,1000000,1000,6661844
Pthreads,1,4000000,2000,43485979
Pthreads,2,2000000,2000,22394545
Pthreads,4,1000000,2000,12783886
Pthreads,1,4000000,4000,87176535
Pthreads,2,2000000,4000,44696363
Pthreads,4,1000000,4000,24977199
OpenMP,1,1000000,1000,5435720
OpenMP,2,500000,1000,2795743
OpenMP,4,250000,1000,1678461
OpenMP,1,1000000,2000,10823554
OpenMP,2,500000,2000,5612454
OpenMP,4,250000,2000,3197341
OpenMP,1,1000000,4000,21659209
OpenMP,2,500000,4000,11168641
OpenMP,4,250000,4000,6284264
OpenMP,1,2000000,1000,10923520
OpenMP,2,1000000,1000,5555747
OpenMP,4,500000,1000,3326049
OpenMP,1,2000000,2000,21559474
OpenMP,2,1000000,2000,11170335
OpenMP,4,500000,2000,6439735
OpenMP,1,2000000,4000,42977248
OpenMP,2,1000000,4000,22084872
OpenMP,4,500000,4000,12765400
OpenMP,1,4000000,1000,21615207
OpenMP,2,2000000,1000,11134629
OpenMP,4,1000000,1000,6568306
OpenMP,1,4000000,2000,43037205
OpenMP,2,2000000,2000,21978267
OpenMP,4,1000000,2000,12616599
OpenMP,1,4000000,4000,86121553
OpenMP,2,2000000,4000,44623129
OpenMP,4,1000000,4000,24708511
